FILENAME|OBS_ID|PROGRAM|OBS_NUM|VISIT|VISIT_ID|VISITGRP|VISITYPE|SEQ_ID|ACT_ID|EXPOSURE|EXP_TYPE|NEXPOSUR|EXPCOUNT|INSTRUME|DETECTOR|CHANNEL|TARGETID|TARGPROP|TARGNAME|TARGTYPE|TEMPLATE|PNTGTYPE|PNTG_SEQ|TARGORDN|EXPSPCIN|DITHPTIN|MOSTILNO|MODULE|FILTER|PUPIL|DITHERID|PATTTYPE|PATTSTRT|NUMDTHPT|PATTSIZE|SUBPXPTS|PATT_NUM|SUBPIXEL|APERNAME|SDP_VER|SUBARRAY|GRATING|FXD_SLIT|BAND|GWA_XTIL|GWA_YTIL|ASN_CANDIDATE|EXPOSERR|IS_PSF|IS_IMPRT|BKGDTARG|TSOVISIT|MSASTATE|MSAMETFL|OPMODE|LAMP|SPEC_NUM|SPAT_NUM|DMS_NOTE|EXSEGTOT|NINTS|NGROUPS|MTSHADOW
jw01366002001_04103_00001-seg001_nrca1_uncal.fits|V01366002001P0000000004103|1366|2|1|01366002001|4|PRIME_TARGETED_FIXED|1|03|1|NRC_TSIMAGE|2|2|NIRCAM|NRCA1|SHORT|1|WASP-39|WASP-39|FIXED|NIRCam Grism Time Series|SCIENCE|2|1|1|1|1|A|F210M|WLP8|NULL|NONE|NULL|1|NULL|NULL|1|NULL|NRCA1_GRISMTS256|2025_4a|SUBGRISM256|NULL|NULL|NULL|NULL|NULL|[('o002', 'OBSERVATION')]|NULL|NULL|NULL|F|T|NULL|NULL|NULL|NULL|NULL|NULL|NULL|4|366|12|NONE
jw01366002001_04103_00001-seg001_nrca3_uncal.fits|V01366002001P0000000004103|1366|2|1|01366002001|4|PRIME_TARGETED_FIXED|1|03|1|NRC_TSIMAGE|2|2|NIRCAM|NRCA3|SHORT|1|WASP-39|WASP-39|FIXED|NIRCam Grism Time Series|SCIENCE|2|1|1|1|1|A|F210M|WLP8|NULL|NONE|NULL|1|NULL|NULL|1|NULL|NRCA3_GRISMTS256|2025_4a|SUBGRISM256|NULL|NULL|NULL|NULL|NULL|[('o002', 'OBSERVATION')]|NULL|NULL|NULL|F|T|NULL|NULL|NULL|NULL|NULL|NULL|NULL|4|366|12|NONE
jw01366002001_04103_00001-seg001_nrcalong_uncal.fits|V01366002001P0000000004103|1366|2|1|01366002001|4|PRIME_TARGETED_FIXED|1|03|1|NRC_TSGRISM|2|2|NIRCAM|NRCALONG|LONG|1|WASP-39|WASP-39|FIXED|NIRCam Grism Time Series|SCIENCE|2|1|1|1|1|A|F322W2|GRISMR|NULL|NONE|NULL|1|NULL|NULL|1|NULL|NRCA5_GRISM256_F322W2|2025_4a|SUBGRISM256|NULL|NULL|NULL|NULL|NULL|[('o002', 'OBSERVATION')]|NULL|NULL|NULL|F|T|NULL|NULL|NULL|NULL|NULL|NULL|NULL|4|366|12|NONE
jw01366002001_04103_00001-seg002_nrca1_uncal.fits|V01366002001P0000000004103|1366|2|1|01366002001|4|PRIME_TARGETED_FIXED|1|03|1|NRC_TSIMAGE|2|2|NIRCAM|NRCA1|SHORT|1|WASP-39|WASP-39|FIXED|NIRCam Grism Time Series|SCIENCE|2|1|1|1|1|A|F210M|WLP8|NULL|NONE|NULL|1|NULL|NULL|1|NULL|NRCA1_GRISMTS256|2025_4a|SUBGRISM256|NULL|NULL|NULL|NULL|NULL|[('o002', 'OBSERVATION')]|NULL|NULL|NULL|F|T|NULL|NULL|NULL|NULL|NULL|NULL|NULL|4|366|12|NONE
jw01366002001_04103_00001-seg002_nrca3_uncal.fits|V01366002001P0000000004103|1366|2|1|01366002001|4|PRIME_TARGETED_FIXED|1|03|1|NRC_TSIMAGE|2|2|NIRCAM|NRCA3|SHORT|1|WASP-39|WASP-39|FIXED|NIRCam Grism Time Series|SCIENCE|2|1|1|1|1|A|F210M|WLP8|NULL|NONE|NULL|1|NULL|NULL|1|NULL|NRCA3_GRISMTS256|2025_4a|SUBGRISM256|NULL|NULL|NULL|NULL|NULL|[('o002', 'OBSERVATION')]|NULL|NULL|NULL|F|T|NULL|NULL|NULL|NULL|NULL|NULL|NULL|4|366|12|NONE
jw01366002001_04103_00001-seg002_nrcalong_uncal.fits|V01366002001P0000000004103|1366|2|1|01366002001|4|PRIME_TARGETED_FIXED|1|03|1|NRC_TSGRISM|2|2|NIRCAM|NRCALONG|LONG|1|WASP-39|WASP-39|FIXED|NIRCam Grism Time Series|SCIENCE|2|1|1|1|1|A|F322W2|GRISMR|NULL|NONE|NULL|1|NULL|NULL|1|NULL|NRCA5_GRISM256_F322W2|2025_4a|SUBGRISM256|NULL|NULL|NULL|NULL|NULL|[('o002', 'OBSERVATION')]|NULL|NULL|NULL|F|T|NULL|NULL|NULL|NULL|NULL|NULL|NULL|4|366|12|NONE
jw01366002001_04103_00001-seg003_nrca1_uncal.fits|V01366002001P0000000004103|1366|2|1|01366002001|4|PRIME_TARGETED_FIXED|1|03|1|NRC_TSIMAGE|2|2|NIRCAM|NRCA1|SHORT|1|WASP-39|WASP-39|FIXED|NIRCam Grism Time Series|SCIENCE|2|1|1|1|1|A|F210M|WLP8|NULL|NONE|NULL|1|NULL|NULL|1|NULL|NRCA1_GRISMTS256|2025_4a|SUBGRISM256|NULL|NULL|NULL|NULL|NULL|[('o002', 'OBSERVATION')]|NULL|NULL|NULL|F|T|NULL|NULL|NULL|NULL|NULL|NULL|NULL|4|366|12|NONE
jw01366002001_04103_00001-seg003_nrca3_uncal.fits|V01366002001P0000000004103|1366|2|1|01366002001|4|PRIME_TARGETED_FIXED|1|03|1|NRC_TSIMAGE|2|2|NIRCAM|NRCA3|SHORT|1|WASP-39|WASP-39|FIXED|NIRCam Grism Time Series|SCIENCE|2|1|1|1|1|A|F210M|WLP8|NULL|NONE|NULL|1|NULL|NULL|1|NULL|NRCA3_GRISMTS256|2025_4a|SUBGRISM256|NULL|NULL|NULL|NULL|NULL|[('o002', 'OBSERVATION')]|NULL|NULL|NULL|F|T|NULL|NULL|NULL|NULL|NULL|NULL|NULL|4|366|12|NONE
jw01366002001_04103_00001-seg003_nrcalong_uncal.fits|V01366002001P0000000004103|1366|2|1|01366002001|4|PRIME_TARGETED_FIXED|1|03|1|NRC_TSGRISM|2|2|NIRCAM|NRCALONG|LONG|1|WASP-39|WASP-39|FIXED|NIRCam Grism Time Series|SCIENCE|2|1|1|1|1|A|F322W2|GRISMR|NULL|NONE|NULL|1|NULL|NULL|1|NULL|NRCA5_GRISM256_F322W2|2025_4a|SUBGRISM256|NULL|NULL|NULL|NULL|NULL|[('o002', 'OBSERVATION')]|NULL|NULL|NULL|F|T|NULL|NULL|NULL|NULL|NULL|NULL|NULL|4|366|12|NONE
jw01366002001_04103_00001-seg004_nrca1_uncal.fits|V01366002001P0000000004103|1366|2|1|01366002001|4|PRIME_TARGETED_FIXED|1|03|1|NRC_TSIMAGE|2|2|NIRCAM|NRCA1|SHORT|1|WASP-39|WASP-39|FIXED|NIRCam Grism Time Series|SCIENCE|2|1|1|1|1|A|F210M|WLP8|NULL|NONE|NULL|1|NULL|NULL|1|NULL|NRCA1_GRISMTS256|2025_4a|SUBGRISM256|NULL|NULL|NULL|NULL|NULL|[('o002', 'OBSERVATION')]|NULL|NULL|NULL|F|T|NULL|NULL|NULL|NULL|NULL|NULL|NULL|4|366|12|NONE
