instrument,wavelength_um,normalized_flux,median_flux_mjy
NIRISS_SOSS,2.594712690800694,0.532811628137884,0.03518097649733094
NIRISS_SOSS,2.593721573938912,0.5361643872449744,0.0354023555609974
NIRISS_SOSS,2.5927304579499055,0.5299717535928118,0.034993462647502395
NIRISS_SOSS,2.59173934293354,0.52347670945696,0.034564601896300104
NIRISS_SOSS,2.59074822898924,0.5434290159274987,0.03588203114884996
NIRISS_SOSS,2.589757116216001,0.5435841194067308,0.03589227246410915
NIRISS_SOSS,2.588766004712379,0.5167762803867259,0.034122179799646955
NIRISS_SOSS,2.587774894576499,0.5428676762129377,0.035844966493609604
NIRISS_SOSS,2.5867837859060527,0.5042788255485122,0.033296986350929904
NIRISS_SOSS,2.5857926787982985,0.53362741549131,0.035234842055423224
NIRISS_SOSS,2.5848015733500675,0.5411260203697628,0.03572996683885484
NIRISS_SOSS,2.5838104696577564,0.5413170606228501,0.0357425810204886
NIRISS_SOSS,2.582819367817335,0.5450677760014907,0.035990236707068295
NIRISS_SOSS,2.5818282679243443,0.5414185739023629,0.03574928383272487
NIRISS_SOSS,2.5808371700738975,0.5480529826357166,0.03618734667781991
NIRISS_SOSS,2.57984607436068,0.5555941295866472,0.036685280468362017
NIRISS_SOSS,2.578854980878954,0.5290830677882621,0.03493478368339525
NIRISS_SOSS,2.5778638897225536,0.5246149663261147,0.034639759768326304
NIRISS_SOSS,2.5768728009848907,0.5569547432944768,0.03677512032235392
NIRISS_SOSS,2.5758817147589546,0.5507660188247955,0.03636648552795719
NIRISS_SOSS,2.5748906311373085,0.5557044148012766,0.03669256248200245
NIRISS_SOSS,2.5738995502120985,0.5560971512774211,0.03671849444746118
NIRISS_SOSS,2.5729084720750466,0.5557298225320227,0.03669424012702936
NIRISS_SOSS,2.5719173968174567,0.5474994162748505,0.036150795288730664
NIRISS_SOSS,2.570926324530212,0.547626702556964,0.036159199864499995
NIRISS_SOSS,2.5699352553037795,0.5341693032037513,0.035270622315967115
NIRISS_SOSS,2.568944189228209,0.5576335125254822,0.03681993872176944
NIRISS_SOSS,2.5679531263931303,0.5480789733420942,0.0361890628160983
NIRISS_SOSS,2.566962066887765,0.5404504726432027,0.0356853611518994
NIRISS_SOSS,2.5659710108008977,0.5538638282413745,0.036571030538843606
NIRISS_SOSS,2.564979958220965,0.5243357840306919,0.03462132566280937
NIRISS_SOSS,2.563988909235828,0.552803512793734,0.03650101905472197
NIRISS_SOSS,2.562997863933244,0.5492677352664446,0.036267555482385735
NIRISS_SOSS,2.5620068224264774,0.5472078626167315,0.036131544315493
NIRISS_SOSS,2.561015784785659,0.5486408197192174,0.03622616092572058
NIRISS_SOSS,2.5600247510890517,0.55077314185842,0.03636695585417624
NIRISS_SOSS,2.5590337214225523,0.5518659707585493,0.036439114166458994
NIRISS_SOSS,2.558042695871673,0.5281617053692363,0.034873947117717144
NIRISS_SOSS,2.5570516745215097,0.5233989117847743,0.034559465000008484
NIRISS_SOSS,2.556060657456754,0.5547397281661283,0.03662886526511352
NIRISS_SOSS,2.555069644761694,0.5560789381573682,0.03671729185480988
NIRISS_SOSS,2.554078636520211,0.5561460357384489,0.03672172223563937
NIRISS_SOSS,2.553087632815783,0.5454653730276307,0.036016489609395005
NIRISS_SOSS,2.552096633731486,0.5479958106542093,0.036183571673612996
NIRISS_SOSS,2.5511056393499945,0.5532227744633202,0.03652870245006283
NIRISS_SOSS,2.550114649753581,0.557584677453999,0.036816714194729545
NIRISS_SOSS,2.549123665024118,0.560753502036473,0.037025948260340696
NIRISS_SOSS,2.5481326852430786,0.5550252960102207,0.036647721001514234
NIRISS_SOSS,2.5471417104915375,0.556931649352062,0.03677359545427219
NIRISS_SOSS,2.5461507408501722,0.5610477244756213,0.037045375450308074
NIRISS_SOSS,2.545159776399264,0.5601304146300787,0.03698480647168126
NIRISS_SOSS,2.544168817218696,0.5587286049517507,0.03689224649223909
NIRISS_SOSS,2.543177863387958,0.5576350286703844,0.036820038831180256
